"Study_ID","Study_ID_Plus","Country","Zone","Focus","Study_Site","Animal_Species_Corrected","Plant_Species_Corrected","Animal_Family","Plant_Family"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_263","Family_43","Family_35"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_742","Family_43","Family_75"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_692","Family_43","Family_69"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_682","Family_43","Family_67"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_684","Family_43","Family_67"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_335","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_352","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_354","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_366","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_383","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_415","Family_43","Family_41"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_529","Family_43","Family_52"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_530","Family_43","Family_52"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_628","Family_43","Family_61"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_634","Family_43","Family_61"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_638","Family_43","Family_61"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_461","Family_43","Family_48"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_202","Plant_498","Family_43","Family_51"
"DB146","DB146","DRC","AC","Animal","Site_53","Frugivore_230","Plant_77","Family_43","Family_5"
"DB146","DB146","DRC","AC","Animal","Site_53","Frugivore_230","Plant_203","Family_43","Family_25"
"DB146","DB146","DRC","AC","Animal","Site_53","Frugivore_230","Plant_613","Family_43","Family_58"
"DB146","DB146","DRC","AC","Animal","Site_53","Frugivore_230","Plant_614","Family_43","Family_58"
"DB146","DB146","DRC","AC","Animal","Site_53","Frugivore_230","Plant_634","Family_43","Family_61"
"DB146","DB146","DRC","AC","Animal","Site_53","Frugivore_230","Plant_641","Family_43","Family_61"
"DB180","DB180","Sierra Leone","AW","Animal","Site_41","Frugivore_202","Plant_440","Family_43","Family_46"
"DB214","DB214AW",NA,"AW","Animal",NA,"Frugivore_202","Plant_579","Family_43","Family_56"
"DB244","DB244","Uganda","AE","Animal","Site_7","Frugivore_229","Plant_752","Family_43","Family_78"
"DB6","DB6Site_12","Uganda","AE","Plant","Site_12","Frugivore_216","Plant_137","Family_43","Family_13"
"DB70","DB70","Kenya","AE","Animal","Site_1","Frugivore_216","Plant_609","Family_43","Family_56"
"DB70","DB70","Kenya","AE","Animal","Site_1","Frugivore_216","Plant_573","Family_43","Family_56"
"DB70","DB70","Kenya","AE","Animal","Site_1","Frugivore_216","Plant_606","Family_43","Family_56"
"DB70","DB70","Kenya","AE","Animal","Site_1","Frugivore_216","Plant_557","Family_43","Family_56"
"DB70","DB70","Kenya","AE","Animal","Site_1","Frugivore_216","Plant_820","Family_43","Family_80"
"DB93","DB93","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_119","Family_43","Family_8"
"DB93","DB93","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_239","Family_43","Family_35"
"DB93","DB93","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_573","Family_43","Family_56"
"DB93","DB93","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_645","Family_43","Family_62"
"DB93","DB93","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_752","Family_43","Family_78"
"DB93","DB93","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_161","Family_43","Family_18"
"DB125","DB125Site_12","Uganda","AE","Plant","Site_12","Frugivore_216","Plant_161","Family_43","Family_18"
"DB179","DB179","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_573","Family_43","Family_56"
"DB179","DB179","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_161","Family_43","Family_18"
"DB182","DB182","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_239","Family_43","Family_35"
"DB182","DB182","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_573","Family_43","Family_56"
"DB182","DB182","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_906","Family_43","Family_84"
"DB182","DB182","Uganda","AE","Animal","Site_7","Frugivore_216","Plant_161","Family_43","Family_18"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_39","Family_43","Family_5"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_46","Family_43","Family_5"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_52","Family_43","Family_5"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_79","Family_43","Family_5"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_85","Family_43","Family_5"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_110","Family_43","Family_6"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_683","Family_43","Family_67"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_690","Family_43","Family_67"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_317","Family_43","Family_38"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_430","Family_43","Family_44"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_543","Family_43","Family_53"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_614","Family_43","Family_58"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_617","Family_43","Family_58"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_638","Family_43","Family_61"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_641","Family_43","Family_61"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_666","Family_43","Family_67"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_744","Family_43","Family_76"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_883","Family_43","Family_84"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_885","Family_43","Family_84"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_525","Family_43","Family_51"
"DB198","DB198","Cameroon","AC","Animal","Site_25","Frugivore_216","Plant_163","Family_43","Family_18"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_573","Family_43","Family_56"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_594","Family_43","Family_56"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_596","Family_43","Family_56"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_606","Family_43","Family_56"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_609","Family_43","Family_56"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_557","Family_43","Family_56"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_667","Family_43","Family_67"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_752","Family_43","Family_78"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_850","Family_43","Family_83"
"DB211","DB211","Kenya","AE","Both","Site_1","Frugivore_216","Plant_897","Family_43","Family_84"
"DB214","DB214NA",NA,NA,"Animal",NA,"Frugivore_216","Plant_573","Family_43","Family_56"
"DB243","DB243","Cameroon","AC","Plant","Site_25","Frugivore_216","Plant_9","Family_43","Family_3"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_84","Family_43","Family_5"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_692","Family_43","Family_69"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_329","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_335","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_352","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_383","Family_43","Family_38"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_415","Family_43","Family_41"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_529","Family_43","Family_52"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_612","Family_43","Family_58"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_614","Family_43","Family_58"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_888","Family_43","Family_84"
"DB128","DB128","Ivory Coast","AW","Animal","Site_30","Frugivore_217","Plant_461","Family_43","Family_48"
"DB74","DB74","Gabon","AC","Animal","Site_27","Frugivore_218","Plant_24","Family_43","Family_3"
"DB74","DB74","Gabon","AC","Animal","Site_27","Frugivore_218","Plant_153","Family_43","Family_14"
"DB74","DB74","Gabon","AC","Animal","Site_27","Frugivore_218","Plant_202","Family_43","Family_25"
"DB74","DB74","Gabon","AC","Animal","Site_27","Frugivore_218","Plant_303","Family_43","Family_37"
"DB74","DB74","Gabon","AC","Animal","Site_27","Frugivore_218","Plant_8","Family_43","Family_2"
"DB74","DB74","Gabon","AC","Animal","Site_27","Frugivore_218","Plant_608","Family_43","Family_56"
"DB74","DB74","Gabon","AC","Animal","Site_27","Frugivore_218","Plant_640","Family_43","Family_61"
"DB94","DB94","Gabon","AC","Animal","Site_27","Frugivore_218","Plant_641","Family_43","Family_61"
"DB233","DB233","Gabon","AC","BothLimited","Site_27","Frugivore_218","Plant_239","Family_43","Family_35"
"DB233","DB233","Gabon","AC","BothLimited","Site_27","Frugivore_218","Plant_245","Family_43","Family_35"
"DB42","DB42",NA,"AW","Animal",NA,"Frugivore_219","Plant_256","Family_43","Family_35"
"DB42","DB42",NA,"AW","Animal",NA,"Frugivore_219","Plant_368","Family_43","Family_38"
"DB42","DB42",NA,"AW","Animal",NA,"Frugivore_219","Plant_902","Family_43","Family_84"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_90","Family_43","Family_6"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_187","Family_43","Family_24"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_256","Family_43","Family_35"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_256","Family_43","Family_35"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_732","Family_43","Family_75"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_682","Family_43","Family_67"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_357","Family_43","Family_38"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_368","Family_43","Family_38"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_465","Family_43","Family_50"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_594","Family_43","Family_56"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_604","Family_43","Family_56"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_748","Family_43","Family_77"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_786","Family_43","Family_79"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_905","Family_43","Family_84"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_902","Family_43","Family_84"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_914","Family_43","Family_84"
"DB47","DB47","Benin","AW","Animal","Site_55","Frugivore_219","Plant_440","Family_43","Family_46"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_119","Family_3","Family_8"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_225","Family_3","Family_29"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_278","Family_3","Family_37"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_282","Family_3","Family_37"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_291","Family_3","Family_37"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_301","Family_3","Family_37"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_624","Family_3","Family_59"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_645","Family_3","Family_62"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_822","Family_3","Family_80"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_828","Family_3","Family_81"
"DB54","DB54","Malawi","AE","Animal","Site_22","Frugivore_14","Plant_496","Family_3","Family_51"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_15","Plant_937","Family_3","Family_90"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_15","Plant_630","Family_3","Family_61"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_15","Plant_631","Family_3","Family_61"
"DB87","DB87AW",NA,"AW","Animal",NA,"Frugivore_15","Plant_416","Family_3","Family_42"
"DB87","DB87AW",NA,"AW","Animal",NA,"Frugivore_15","Plant_937","Family_3","Family_90"
"DB114","DB114","Nigeria","AW","Plant","Site_21","Frugivore_16","Plant_119","Family_3","Family_8"
"DB114","DB114","Nigeria","AW","Plant","Site_21","Frugivore_16","Plant_624","Family_3","Family_59"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_17","Plant_104","Family_3","Family_6"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_17","Plant_105","Family_3","Family_6"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_17","Plant_937","Family_3","Family_90"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_17","Plant_613","Family_3","Family_58"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_17","Plant_630","Family_3","Family_61"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_17","Plant_631","Family_3","Family_61"
"DB55","DB55","Congo","AC","Animal","Site_20","Frugivore_17","Plant_290","Family_3","Family_37"
"DB260","DB260NA",NA,NA,NA,NA,"Frugivore_17","Plant_306","Family_3","Family_37"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_50","Family_4","Family_5"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_52","Family_4","Family_5"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_143","Family_4","Family_14"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_145","Family_4","Family_14"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_146","Family_4","Family_14"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_148","Family_4","Family_14"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_281","Family_4","Family_37"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_728","Family_4","Family_75"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_729","Family_4","Family_75"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_736","Family_4","Family_75"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_739","Family_4","Family_75"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_683","Family_4","Family_67"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_684","Family_4","Family_67"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_690","Family_4","Family_67"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_444","Family_4","Family_47"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_546","Family_4","Family_53"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_547","Family_4","Family_53"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_550","Family_4","Family_53"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_553","Family_4","Family_53"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_937","Family_4","Family_90"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_613","Family_4","Family_58"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_614","Family_4","Family_58"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_630","Family_4","Family_61"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_631","Family_4","Family_61"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_638","Family_4","Family_61"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_639","Family_4","Family_61"
"DB19","DB19","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_640","Family_4","Family_61"
"DB32","DB32","Cameroon","AC","Plant","Site_25","Frugivore_21","Plant_684","Family_4","Family_67"
"DB32","DB32","Cameroon","AC","Plant","Site_25","Frugivore_21","Plant_744","Family_4","Family_76"
"DB43","DB43","Ivory Coast","AW","BothLimited","Site_30","Frugivore_21","Plant_352","Family_4","Family_38"
"DB43","DB43","Ivory Coast","AW","BothLimited","Site_30","Frugivore_21","Plant_888","Family_4","Family_84"
"DB260","DB260NA",NA,NA,NA,NA,"Frugivore_21","Plant_647","Family_4","Family_62"
"DB95","DB95","Gabon","AC","BothLimited","Site_28","Frugivore_21","Plant_148","Family_4","Family_14"
"DB125","DB125Site_12","Uganda","AE","Plant","Site_12","Frugivore_21","Plant_161","Family_4","Family_18"
"DB135","DB135","Uganda","AE","BothLimited","Site_7","Frugivore_21","Plant_573","Family_4","Family_56"
"DB141","DB141","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_52","Family_4","Family_5"
"DB141","DB141","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_444","Family_4","Family_47"
"DB141","DB141","Gabon","AC","Animal","Site_18","Frugivore_21","Plant_937","Family_4","Family_90"
"DB149","DB149","Uganda","AE","BothLimited","Site_7","Frugivore_21","Plant_850","Family_4","Family_83"
"DB156","DB156","Kenya","AE","Animal","Site_1","Frugivore_21","Plant_557","Family_4","Family_56"
"DB214","DB214NA",NA,NA,"Animal",NA,"Frugivore_21","Plant_591","Family_4","Family_56"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_224","Family_4","Family_29"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_118","Family_4","Family_7"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_446","Family_4","Family_47"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_537","Family_4","Family_53"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_583","Family_4","Family_56"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_722","Family_4","Family_74"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_723","Family_4","Family_74"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_624","Family_4","Family_59"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_639","Family_4","Family_61"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_646","Family_4","Family_62"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_658","Family_4","Family_65"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_752","Family_4","Family_78"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_800","Family_4","Family_79"
"DB220","DB220","Rwanda","AE","Animal","Site_43","Frugivore_21","Plant_660","Family_4","Family_66"
"DB226","DB226Site_19","Cameroon","AC","Plant","Site_19","Frugivore_21","Plant_371","Family_4","Family_38"
"DB130","DB130","Ivory Coast","AW","Plant","Site_29","Frugivore_133","Plant_14","Family_29","Family_3"
"DB55","DB55","Congo","AC","Animal","Site_20","Frugivore_134","Plant_588","Family_29","Family_56"
"DB125","DB125Site_12","Uganda","AE","Plant","Site_12","Frugivore_134","Plant_161","Family_29","Family_18"
"DB214","DB214NA",NA,NA,"Animal",NA,"Frugivore_134","Plant_588","Family_29","Family_56"
"DB239","DB239","Uganda","AE","BothLimited","Site_12","Frugivore_134","Plant_161","Family_29","Family_18"
"DB55","DB55","Congo","AC","Animal","Site_20","Frugivore_135","Plant_588","Family_29","Family_56"
"DB58","DB58","Ghana","AW","Animal",NA,"Frugivore_91","Plant_271","Family_23","Family_37"
"DB260","DB260NA",NA,NA,NA,NA,"Frugivore_91","Plant_77","Family_23","Family_5"
"DB1","DB1Site_56","Congo","AC","Animal","Site_56","Frugivore_168","Plant_44","Family_37","Family_5"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_191","Family_37","Family_25"
"DB1","DB1Site_56","Congo","AC","Animal","Site_56","Frugivore_168","Plant_672","Family_37","Family_67"
"DB1","DB1Site_56","Congo","AC","Animal","Site_56","Frugivore_168","Plant_841","Family_37","Family_81"
"DB1","DB1Site_56","Congo","AC","Animal","Site_56","Frugivore_168","Plant_937","Family_37","Family_90"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_563","Family_37","Family_56"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_579","Family_37","Family_56"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_582","Family_37","Family_56"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_585","Family_37","Family_56"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_594","Family_37","Family_56"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_595","Family_37","Family_56"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_596","Family_37","Family_56"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_600","Family_37","Family_56"
"DB1","DB1Site_35","Ghana","AW","Animal","Site_35","Frugivore_168","Plant_557","Family_37","Family_56"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_623","Family_37","Family_59"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_624","Family_37","Family_59"
"DB1","DB1Site_56","Congo","AC","Animal","Site_56","Frugivore_168","Plant_786","Family_37","Family_79"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_820","Family_37","Family_80"
"DB1","DB1Kenya","Kenya","AE","Animal",NA,"Frugivore_168","Plant_823","Family_37","Family_80"
"DB31","DB31","Ivory Coast","AW","Animal","Site_30","Frugivore_168","Plant_411","Family_37","Family_40"
"DB31","DB31","Ivory Coast","AW","Animal","Site_30","Frugivore_168","Plant_604","Family_37","Family_56"
"DB31","DB31","Ivory Coast","AW","Animal","Site_30","Frugivore_168","Plant_656","Family_37","Family_64"
"DB31","DB31","Ivory Coast","AW","Animal","Site_30","Frugivore_168","Plant_483","Family_37","Family_51"
"DB33","DB33","Ghana","AW","BothLimited",NA,"Frugivore_168","Plant_599","Family_37","Family_56"
"DB37","DB37AC","Cameroon","AC","BothLimited",NA,"Frugivore_168","Plant_604","Family_37","Family_56"
"DB120","DB120","Ghana","AW","Plant","Site_35","Frugivore_168","Plant_557","Family_37","Family_56"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_44","Family_37","Family_5"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_121","Family_37","Family_9"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_206","Family_37","Family_26"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_306","Family_37","Family_37"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_604","Family_37","Family_56"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_937","Family_37","Family_90"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_557","Family_37","Family_56"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_667","Family_37","Family_67"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_744","Family_37","Family_76"
"DB147","DB147NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_437","Family_37","Family_46"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_27","Family_37","Family_3"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_44","Family_37","Family_5"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_188","Family_37","Family_24"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_306","Family_37","Family_37"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_573","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_579","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_581","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_582","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_582","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_596","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_599","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_604","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_937","Family_37","Family_90"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_557","Family_37","Family_56"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_614","Family_37","Family_58"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_665","Family_37","Family_67"
"DB158","DB158NA",NA,NA,"Animal",NA,"Frugivore_168","Plant_744","Family_37","Family_76"
"DB162","DB162","Cameroon","AC","Animal","Site_25","Frugivore_168","Plant_573","Family_37","Family_56"
"DB162","DB162","Cameroon","AC","Animal","Site_25","Frugivore_168","Plant_604","Family_37","Family_56"
"DB162","DB162","Cameroon","AC","Animal","Site_25","Frugivore_168","Plant_937","Family_37","Family_90"
"DB174","DB174","Ivory Coast","AW","Animal","Site_57","Frugivore_168","Plant_121","Family_37","Family_9"
