"Study_ID","Study_ID_Plus","Country","Zone","Focus","Study_Site","Animal_Species_Corrected","Plant_Species_Corrected","Animal_Family","Plant_Family"
"CD66","CD66","Ethiopia","AE","Animal","Site_2","Frugivore_212","Plant_753","Family_43","Family_78"
"CD66","CD66","Ethiopia","AE","Animal","Site_2","Frugivore_212","Plant_931","Family_43","Family_87"
"CD66","CD66","Ethiopia","AE","Animal","Site_2","Frugivore_212","Plant_943","Family_43","Family_90"
"CD66","CD66","Ethiopia","AE","Animal","Site_2","Frugivore_212","Plant_943","Family_43","Family_90"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_326","Family_43","Family_38"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_423","Family_43","Family_44"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_629","Family_43","Family_61"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_895","Family_43","Family_84"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_457","Family_43","Family_48"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_617","Family_43","Family_58"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_638","Family_43","Family_61"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_464","Family_43","Family_50"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_688","Family_43","Family_67"
"CD71","CD71","Cameroon","AC","Animal","Site_3","Frugivore_202","Plant_71","Family_43","Family_5"
"CD19","CD19","Cameroon","AC","BothLimited","Site_4","Frugivore_220","Plant_166","Family_43","Family_18"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_846","Family_41","Family_83"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_892","Family_41","Family_84"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_733","Family_41","Family_75"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_722","Family_41","Family_74"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_940","Family_41","Family_90"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_177","Family_41","Family_23"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_647","Family_41","Family_62"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_659","Family_41","Family_65"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_720","Family_41","Family_73"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_203","Family_41","Family_25"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_624","Family_41","Family_59"
"CD41","CD41","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_820","Family_41","Family_80"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_9","Family_41","Family_3"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_141","Family_41","Family_14"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_165","Family_41","Family_18"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_151","Family_41","Family_14"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_152","Family_41","Family_14"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_359","Family_41","Family_38"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_52","Family_41","Family_5"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_515","Family_41","Family_51"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_516","Family_41","Family_51"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_54","Family_41","Family_5"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_937","Family_41","Family_90"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_939","Family_41","Family_90"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_383","Family_41","Family_38"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_303","Family_41","Family_37"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_22","Family_41","Family_3"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_153","Family_41","Family_14"
"CD17","CD17","Gabon","AC","Animal","Site_6","Frugivore_191","Plant_684","Family_41","Family_67"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_892","Family_41","Family_84"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_893","Family_41","Family_84"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_722","Family_41","Family_74"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_940","Family_41","Family_90"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_177","Family_41","Family_23"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_645","Family_41","Family_62"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_659","Family_41","Family_65"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_188","Family_41","Family_24"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_934","Family_41","Family_87"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_203","Family_41","Family_25"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_624","Family_41","Family_59"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_190","Plant_820","Family_41","Family_80"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_318","Family_48","Family_38"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_957","Family_48","Family_95"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_850","Family_48","Family_83"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_159","Family_48","Family_18"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_936","Family_48","Family_89"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_137","Family_48","Family_13"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_817","Family_48","Family_80"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_591","Family_48","Family_56"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_592","Family_48","Family_56"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_592","Family_48","Family_56"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_818","Family_48","Family_80"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_906","Family_48","Family_84"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_606","Family_48","Family_56"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_606","Family_48","Family_56"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_302","Family_48","Family_37"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_389","Family_48","Family_38"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_873","Family_48","Family_84"
"CD76","CD76","Uganda","AE","Animal","Site_7","Frugivore_248","Plant_22","Family_48","Family_3"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_388","Family_40","Family_38"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_170","Family_40","Family_19"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_340","Family_40","Family_38"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_133","Family_40","Family_12"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_792","Family_40","Family_79"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_391","Family_40","Family_38"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_624","Family_40","Family_59"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_395","Family_40","Family_38"
"CD63","CD63","CAR","AC","Animal","Site_8","Frugivore_188","Plant_925","Family_40","Family_84"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_45","Family_40","Family_5"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_9","Family_40","Family_3"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_875","Family_40","Family_84"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_331","Family_40","Family_38"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_331","Family_40","Family_38"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_947","Family_40","Family_93"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_628","Family_40","Family_61"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_628","Family_40","Family_61"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_628","Family_40","Family_61"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_349","Family_40","Family_38"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_244","Family_40","Family_35"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_735","Family_40","Family_75"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_497","Family_40","Family_51"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_50","Family_40","Family_5"
