"Plant_Species_Generic","Plant_Family_Generic"
"Plant_245","Family_35"
"Plant_246","Family_35"
"Plant_247","Family_35"
"Plant_248","Family_35"
"Plant_249","Family_35"
"Plant_250","Family_35"
"Plant_251","Family_35"
"Plant_252","Family_35"
"Plant_253","Family_35"
"Plant_254","Family_35"
"Plant_255","Family_35"
"Plant_256","Family_35"
"Plant_257","Family_35"
"Plant_258","Family_35"
"Plant_259","Family_35"
"Plant_260","Family_35"
"Plant_261","Family_35"
"Plant_262","Family_35"
"Plant_263","Family_35"
"Plant_264","Family_35"
"Plant_265","Family_35"
"Plant_266","Family_35"
"Plant_267","Family_35"
"Plant_268","Family_36"
"Plant_269","Family_36"
"Plant_270","Family_37"
"Plant_271","Family_37"
"Plant_272","Family_37"
"Plant_273","Family_37"
"Plant_274","Family_37"
"Plant_275","Family_37"
"Plant_276","Family_37"
"Plant_277","Family_37"
"Plant_278","Family_37"
"Plant_279","Family_37"
"Plant_280","Family_37"
"Plant_281","Family_37"
"Plant_282","Family_37"
"Plant_283","Family_37"
"Plant_284","Family_37"
"Plant_285","Family_37"
"Plant_286","Family_37"
"Plant_287","Family_37"
"Plant_288","Family_37"
"Plant_289","Family_37"
"Plant_290","Family_37"
"Plant_291","Family_37"
"Plant_292","Family_37"
"Plant_293","Family_37"
"Plant_294","Family_37"
"Plant_295","Family_37"
"Plant_296","Family_37"
"Plant_297","Family_37"
"Plant_298","Family_37"
"Plant_299","Family_37"
"Plant_300","Family_37"
"Plant_301","Family_37"
"Plant_302","Family_37"
"Plant_303","Family_37"
"Plant_304","Family_37"
"Plant_305","Family_37"
"Plant_306","Family_37"
"Plant_307","Family_37"
"Plant_308","Family_37"
"Plant_309","Family_38"
"Plant_310","Family_38"
"Plant_311","Family_38"
"Plant_312","Family_38"
"Plant_313","Family_38"
"Plant_314","Family_38"
"Plant_315","Family_38"
"Plant_316","Family_38"
"Plant_317","Family_38"
"Plant_318","Family_38"
"Plant_319","Family_38"
"Plant_320","Family_38"
"Plant_321","Family_38"
"Plant_322","Family_38"
"Plant_323","Family_38"
"Plant_324","Family_38"
"Plant_325","Family_38"
"Plant_326","Family_38"
"Plant_327","Family_38"
"Plant_328","Family_38"
"Plant_329","Family_38"
"Plant_330","Family_38"
"Plant_331","Family_38"
"Plant_332","Family_38"
"Plant_333","Family_38"
"Plant_334","Family_38"
"Plant_335","Family_38"
"Plant_336","Family_38"
"Plant_337","Family_38"
"Plant_338","Family_38"
"Plant_339","Family_38"
"Plant_340","Family_38"
"Plant_341","Family_38"
"Plant_342","Family_38"
"Plant_343","Family_38"
"Plant_344","Family_38"
"Plant_345","Family_38"
"Plant_346","Family_38"
"Plant_347","Family_38"
"Plant_348","Family_38"
"Plant_349","Family_38"
"Plant_350","Family_38"
"Plant_351","Family_38"
"Plant_352","Family_38"
"Plant_353","Family_38"
"Plant_354","Family_38"
"Plant_355","Family_38"
"Plant_356","Family_38"
"Plant_357","Family_38"
"Plant_358","Family_38"
"Plant_359","Family_38"
"Plant_360","Family_38"
"Plant_361","Family_38"
"Plant_362","Family_38"
"Plant_363","Family_38"
"Plant_364","Family_38"
"Plant_365","Family_38"
"Plant_366","Family_38"
"Plant_367","Family_38"
"Plant_368","Family_38"
"Plant_369","Family_38"
"Plant_370","Family_38"
"Plant_371","Family_38"
"Plant_372","Family_38"
"Plant_373","Family_38"
"Plant_374","Family_38"
"Plant_375","Family_38"
"Plant_376","Family_38"
"Plant_377","Family_38"
"Plant_378","Family_38"
"Plant_379","Family_38"
"Plant_380","Family_38"
"Plant_381","Family_38"
"Plant_382","Family_38"
"Plant_383","Family_38"
"Plant_384","Family_38"
"Plant_385","Family_38"
"Plant_386","Family_38"
"Plant_387","Family_38"
"Plant_388","Family_38"
"Plant_389","Family_38"
"Plant_390","Family_38"
"Plant_391","Family_38"
"Plant_392","Family_38"
"Plant_393","Family_38"
"Plant_394","Family_38"
"Plant_395","Family_38"
"Plant_396","Family_38"
"Plant_397","Family_38"
"Plant_398","Family_38"
"Plant_399","Family_38"
"Plant_400","Family_38"
"Plant_401","Family_38"
"Plant_402","Family_38"
"Plant_403","Family_38"
"Plant_404","Family_38"
"Plant_405","Family_38"
"Plant_406","Family_38"
"Plant_407","Family_38"
"Plant_408","Family_38"
"Plant_409","Family_39"
"Plant_410","Family_40"
"Plant_411","Family_40"
"Plant_412","Family_40"
"Plant_413","Family_40"
"Plant_414","Family_40"
"Plant_415","Family_41"
"Plant_416","Family_42"
"Plant_417","Family_42"
"Plant_418","Family_42"
"Plant_419","Family_42"
"Plant_420","Family_42"
"Plant_421","Family_42"
"Plant_422","Family_43"
"Plant_423","Family_44"
"Plant_424","Family_44"
"Plant_425","Family_44"
"Plant_426","Family_44"
"Plant_427","Family_44"
"Plant_428","Family_44"
"Plant_429","Family_44"
"Plant_430","Family_44"
"Plant_431","Family_44"
"Plant_432","Family_45"
"Plant_433","Family_46"
"Plant_434","Family_46"
"Plant_435","Family_46"
"Plant_436","Family_46"
"Plant_437","Family_46"
"Plant_438","Family_46"
"Plant_439","Family_46"
"Plant_440","Family_46"
"Plant_441","Family_46"
"Plant_442","Family_46"
"Plant_443","Family_47"
"Plant_444","Family_47"
"Plant_445","Family_47"
"Plant_446","Family_47"
"Plant_447","Family_47"
"Plant_448","Family_47"
"Plant_449","Family_47"
"Plant_450","Family_47"
"Plant_451","Family_47"
"Plant_452","Family_47"
"Plant_453","Family_47"
"Plant_454","Family_48"
"Plant_455","Family_48"
"Plant_456","Family_48"
"Plant_457","Family_48"
"Plant_458","Family_48"
"Plant_459","Family_48"
"Plant_460","Family_48"
"Plant_461","Family_48"
"Plant_462","Family_49"
"Plant_463","Family_50"
"Plant_464","Family_50"
"Plant_465","Family_50"
"Plant_466","Family_50"
"Plant_467","Family_50"
"Plant_468","Family_51"
"Plant_469","Family_51"
"Plant_470","Family_51"
"Plant_471","Family_51"
"Plant_472","Family_51"
"Plant_473","Family_51"
"Plant_474","Family_51"
"Plant_475","Family_51"
"Plant_476","Family_51"
"Plant_477","Family_51"
"Plant_478","Family_51"
"Plant_479","Family_51"
"Plant_480","Family_51"
"Plant_481","Family_51"
"Plant_482","Family_51"
"Plant_483","Family_51"
"Plant_484","Family_51"
"Plant_485","Family_51"
"Plant_486","Family_51"
"Plant_487","Family_51"
"Plant_488","Family_51"
"Plant_489","Family_51"
"Plant_490","Family_51"
"Plant_491","Family_51"
"Plant_492","Family_51"
"Plant_493","Family_51"
"Plant_494","Family_51"
"Plant_495","Family_51"
"Plant_496","Family_51"
"Plant_497","Family_51"
"Plant_498","Family_51"
"Plant_499","Family_51"
"Plant_500","Family_51"
"Plant_501","Family_51"
"Plant_502","Family_51"
"Plant_503","Family_51"
"Plant_504","Family_51"
"Plant_505","Family_51"
"Plant_506","Family_51"
"Plant_507","Family_51"
"Plant_508","Family_51"
"Plant_509","Family_51"
"Plant_510","Family_51"
"Plant_511","Family_51"
"Plant_512","Family_51"
"Plant_513","Family_51"
"Plant_514","Family_51"
"Plant_515","Family_51"
"Plant_516","Family_51"
"Plant_517","Family_51"
"Plant_518","Family_51"
"Plant_519","Family_51"
"Plant_520","Family_51"
"Plant_521","Family_51"
"Plant_522","Family_51"
"Plant_523","Family_51"
"Plant_524","Family_51"
"Plant_525","Family_51"
"Plant_526","Family_51"
"Plant_527","Family_51"
"Plant_528","Family_51"
"Plant_529","Family_52"
"Plant_530","Family_52"
"Plant_531","Family_52"
"Plant_532","Family_52"
"Plant_533","Family_52"
"Plant_534","Family_53"
"Plant_535","Family_53"
"Plant_536","Family_53"
"Plant_537","Family_53"
"Plant_538","Family_53"
"Plant_539","Family_53"
"Plant_540","Family_53"
"Plant_541","Family_53"
"Plant_542","Family_53"
"Plant_543","Family_53"
"Plant_544","Family_53"
"Plant_545","Family_53"
"Plant_546","Family_53"
"Plant_547","Family_53"
"Plant_548","Family_53"
"Plant_549","Family_53"
"Plant_550","Family_53"
"Plant_551","Family_53"
"Plant_552","Family_53"
"Plant_553","Family_53"
"Plant_554","Family_53"
"Plant_555","Family_54"
"Plant_556","Family_55"
"Plant_557","Family_56"
"Plant_558","Family_56"
"Plant_559","Family_56"
"Plant_560","Family_56"
"Plant_561","Family_56"
"Plant_562","Family_56"
"Plant_563","Family_56"
"Plant_564","Family_56"
"Plant_565","Family_56"
"Plant_566","Family_56"
"Plant_567","Family_56"
"Plant_568","Family_56"
"Plant_569","Family_56"
"Plant_570","Family_56"
"Plant_571","Family_56"
"Plant_572","Family_56"
"Plant_573","Family_56"
"Plant_574","Family_56"
"Plant_575","Family_56"
"Plant_576","Family_56"
"Plant_577","Family_56"
"Plant_578","Family_56"
"Plant_579","Family_56"
"Plant_580","Family_56"
"Plant_581","Family_56"
"Plant_582","Family_56"
"Plant_583","Family_56"
"Plant_584","Family_56"
"Plant_585","Family_56"
"Plant_586","Family_56"
"Plant_587","Family_56"
"Plant_588","Family_56"
"Plant_589","Family_56"
"Plant_590","Family_56"
"Plant_591","Family_56"
"Plant_592","Family_56"
"Plant_593","Family_56"
"Plant_594","Family_56"
"Plant_595","Family_56"
"Plant_596","Family_56"
"Plant_597","Family_56"
"Plant_598","Family_56"
"Plant_599","Family_56"
"Plant_600","Family_56"
"Plant_601","Family_56"
"Plant_602","Family_56"
"Plant_603","Family_56"
"Plant_604","Family_56"
"Plant_605","Family_56"
"Plant_606","Family_56"
"Plant_607","Family_56"
"Plant_608","Family_56"
"Plant_609","Family_56"
"Plant_610","Family_57"
"Plant_611","Family_58"
"Plant_612","Family_58"
"Plant_613","Family_58"
"Plant_614","Family_58"
"Plant_615","Family_58"
"Plant_616","Family_58"
"Plant_617","Family_58"
"Plant_618","Family_59"
"Plant_619","Family_59"
"Plant_620","Family_59"
"Plant_621","Family_59"
"Plant_622","Family_59"
"Plant_623","Family_59"
"Plant_624","Family_59"
"Plant_625","Family_59"
"Plant_626","Family_59"
"Plant_627","Family_60"
"Plant_628","Family_61"
"Plant_629","Family_61"
"Plant_630","Family_61"
"Plant_631","Family_61"
"Plant_632","Family_61"
"Plant_633","Family_61"
"Plant_634","Family_61"
"Plant_635","Family_61"
"Plant_636","Family_61"
"Plant_637","Family_61"
"Plant_638","Family_61"
"Plant_639","Family_61"
"Plant_640","Family_61"
"Plant_641","Family_61"
"Plant_642","Family_61"
"Plant_643","Family_62"
"Plant_644","Family_62"
"Plant_645","Family_62"
"Plant_646","Family_62"
"Plant_647","Family_62"
"Plant_648","Family_63"
"Plant_649","Family_63"
"Plant_650","Family_64"
"Plant_651","Family_64"
"Plant_652","Family_64"
"Plant_653","Family_64"
"Plant_654","Family_64"
"Plant_655","Family_64"
"Plant_656","Family_64"
"Plant_657","Family_64"
"Plant_658","Family_65"
"Plant_659","Family_65"
"Plant_660","Family_66"
"Plant_661","Family_67"
"Plant_662","Family_67"
"Plant_663","Family_67"
"Plant_664","Family_67"
"Plant_665","Family_67"
"Plant_666","Family_67"
"Plant_667","Family_67"
"Plant_668","Family_67"
"Plant_669","Family_67"
"Plant_670","Family_67"
"Plant_671","Family_67"
"Plant_672","Family_67"
"Plant_673","Family_67"
"Plant_674","Family_67"
"Plant_675","Family_67"
"Plant_676","Family_67"
"Plant_677","Family_67"
"Plant_678","Family_67"
"Plant_679","Family_67"
"Plant_680","Family_67"
"Plant_681","Family_67"
"Plant_682","Family_67"
"Plant_683","Family_67"
"Plant_684","Family_67"
"Plant_685","Family_67"
"Plant_686","Family_67"
"Plant_687","Family_67"
"Plant_688","Family_67"
"Plant_689","Family_67"
"Plant_690","Family_67"
"Plant_691","Family_68"
"Plant_692","Family_69"
"Plant_693","Family_70"
"Plant_694","Family_71"
"Plant_695","Family_72"
"Plant_696","Family_72"
"Plant_697","Family_72"
"Plant_698","Family_72"
"Plant_699","Family_72"
"Plant_700","Family_72"
"Plant_701","Family_72"
"Plant_702","Family_72"
"Plant_703","Family_72"
"Plant_704","Family_72"
"Plant_705","Family_72"
"Plant_706","Family_72"
"Plant_707","Family_72"
"Plant_708","Family_72"
"Plant_709","Family_72"
"Plant_710","Family_72"
"Plant_711","Family_72"
"Plant_712","Family_72"
"Plant_713","Family_72"
"Plant_714","Family_72"
"Plant_715","Family_72"
"Plant_716","Family_72"
"Plant_717","Family_72"
"Plant_718","Family_72"
"Plant_719","Family_72"
"Plant_720","Family_73"
"Plant_721","Family_74"
"Plant_722","Family_74"
"Plant_723","Family_74"
"Plant_724","Family_75"
"Plant_725","Family_75"
"Plant_726","Family_75"
"Plant_727","Family_75"
"Plant_728","Family_75"
"Plant_729","Family_75"
"Plant_730","Family_75"
"Plant_731","Family_75"
"Plant_732","Family_75"
"Plant_733","Family_75"
"Plant_734","Family_75"
"Plant_735","Family_75"
"Plant_736","Family_75"
"Plant_737","Family_75"
"Plant_738","Family_75"
"Plant_739","Family_75"
"Plant_740","Family_75"
"Plant_741","Family_75"
"Plant_742","Family_75"
"Plant_743","Family_75"
"Plant_744","Family_76"
"Plant_745","Family_76"
"Plant_746","Family_76"
"Plant_747","Family_77"
"Plant_748","Family_77"
"Plant_749","Family_77"
"Plant_750","Family_77"
"Plant_751","Family_78"
"Plant_752","Family_78"
"Plant_753","Family_78"
"Plant_754","Family_79"
"Plant_755","Family_79"
"Plant_756","Family_79"
"Plant_757","Family_79"
"Plant_758","Family_79"
"Plant_759","Family_79"
"Plant_760","Family_79"
"Plant_761","Family_79"
"Plant_762","Family_79"
"Plant_763","Family_79"
"Plant_764","Family_79"
"Plant_765","Family_79"
"Plant_766","Family_79"
"Plant_767","Family_79"
"Plant_768","Family_79"
"Plant_769","Family_79"
"Plant_770","Family_79"
"Plant_771","Family_79"
"Plant_772","Family_79"
"Plant_773","Family_79"
"Plant_774","Family_79"
"Plant_775","Family_79"
"Plant_776","Family_79"
"Plant_777","Family_79"
"Plant_778","Family_79"
"Plant_779","Family_79"
"Plant_780","Family_79"
"Plant_781","Family_79"
"Plant_782","Family_79"
"Plant_783","Family_79"
"Plant_784","Family_79"
"Plant_785","Family_79"
"Plant_786","Family_79"
"Plant_787","Family_79"
"Plant_788","Family_79"
"Plant_789","Family_79"
"Plant_790","Family_79"
"Plant_791","Family_79"
"Plant_792","Family_79"
"Plant_793","Family_79"
"Plant_794","Family_79"
"Plant_795","Family_79"
"Plant_796","Family_79"
"Plant_797","Family_79"
"Plant_798","Family_79"
"Plant_799","Family_79"
"Plant_800","Family_79"
"Plant_801","Family_79"
"Plant_802","Family_79"
"Plant_803","Family_79"
"Plant_804","Family_79"
"Plant_805","Family_79"
"Plant_806","Family_79"
"Plant_807","Family_79"
"Plant_808","Family_79"
"Plant_809","Family_79"
"Plant_810","Family_79"
"Plant_811","Family_79"
"Plant_812","Family_79"
"Plant_813","Family_79"
"Plant_814","Family_79"
"Plant_815","Family_79"
"Plant_816","Family_80"
"Plant_817","Family_80"
"Plant_818","Family_80"
"Plant_819","Family_80"
"Plant_820","Family_80"
"Plant_821","Family_80"
"Plant_822","Family_80"
"Plant_823","Family_80"
"Plant_824","Family_80"
"Plant_825","Family_80"
"Plant_826","Family_80"
"Plant_827","Family_81"
"Plant_828","Family_81"
"Plant_829","Family_81"
"Plant_830","Family_81"
"Plant_831","Family_81"
"Plant_832","Family_81"
"Plant_833","Family_81"
"Plant_834","Family_81"
"Plant_835","Family_81"
"Plant_836","Family_81"
"Plant_837","Family_81"
"Plant_838","Family_81"
"Plant_839","Family_81"
"Plant_840","Family_81"
"Plant_841","Family_81"
"Plant_842","Family_82"
"Plant_843","Family_83"
"Plant_844","Family_83"
"Plant_845","Family_83"
"Plant_846","Family_83"
"Plant_847","Family_83"
"Plant_848","Family_83"
"Plant_849","Family_83"
"Plant_850","Family_83"
"Plant_851","Family_83"
"Plant_852","Family_83"
"Plant_853","Family_83"
"Plant_854","Family_83"
"Plant_855","Family_83"
"Plant_856","Family_83"
"Plant_857","Family_83"
"Plant_858","Family_83"
"Plant_859","Family_83"
"Plant_860","Family_83"
"Plant_861","Family_83"
"Plant_862","Family_83"
"Plant_863","Family_83"
"Plant_864","Family_83"
"Plant_865","Family_83"
"Plant_866","Family_83"
"Plant_867","Family_83"
"Plant_868","Family_83"
"Plant_869","Family_83"
"Plant_870","Family_83"
"Plant_871","Family_83"
"Plant_872","Family_84"
"Plant_873","Family_84"
"Plant_874","Family_84"
"Plant_875","Family_84"
"Plant_876","Family_84"
"Plant_877","Family_84"
"Plant_878","Family_84"
"Plant_879","Family_84"
"Plant_880","Family_84"
"Plant_881","Family_84"
"Plant_882","Family_84"
"Plant_883","Family_84"
"Plant_884","Family_84"
"Plant_885","Family_84"
"Plant_886","Family_84"
"Plant_887","Family_84"
"Plant_888","Family_84"
"Plant_889","Family_84"
"Plant_890","Family_84"
"Plant_891","Family_84"
"Plant_892","Family_84"
"Plant_893","Family_84"
"Plant_894","Family_84"
"Plant_895","Family_84"
"Plant_896","Family_84"
"Plant_897","Family_84"
"Plant_898","Family_84"
"Plant_899","Family_84"
"Plant_900","Family_84"
"Plant_901","Family_84"
"Plant_902","Family_84"
"Plant_903","Family_84"
"Plant_904","Family_84"
"Plant_905","Family_84"
"Plant_906","Family_84"
"Plant_907","Family_84"
"Plant_908","Family_84"
"Plant_909","Family_84"
"Plant_910","Family_84"
"Plant_911","Family_84"
"Plant_912","Family_84"
"Plant_913","Family_84"
"Plant_914","Family_84"
"Plant_915","Family_84"
"Plant_916","Family_84"
"Plant_917","Family_84"
"Plant_918","Family_84"
"Plant_919","Family_84"
"Plant_920","Family_84"
"Plant_921","Family_84"
"Plant_922","Family_84"
"Plant_923","Family_84"
"Plant_924","Family_84"
"Plant_925","Family_84"
"Plant_926","Family_84"
"Plant_927","Family_85"
"Plant_928","Family_85"
"Plant_929","Family_85"
"Plant_930","Family_86"
"Plant_931","Family_87"
"Plant_932","Family_87"
"Plant_933","Family_87"
"Plant_934","Family_87"
"Plant_935","Family_88"
"Plant_936","Family_89"
"Plant_937","Family_90"
"Plant_938","Family_90"
"Plant_939","Family_90"
"Plant_940","Family_90"
"Plant_941","Family_90"
"Plant_942","Family_90"
"Plant_943","Family_90"
"Plant_944","Family_91"
"Plant_945","Family_92"
"Plant_946","Family_93"
"Plant_947","Family_93"
"Plant_948","Family_93"
"Plant_949","Family_93"
"Plant_950","Family_93"
"Plant_951","Family_93"
"Plant_952","Family_93"
"Plant_953","Family_94"
"Plant_954","Family_94"
"Plant_955","Family_94"
"Plant_956","Family_95"
"Plant_957","Family_95"
